date,symbol,action,shares,price,cost,position_size,confidence,stop_loss,regime,revenue,pnl,return_pct,holding_days,reason,drawdown
2024-01-18,AMZN,BUY,11,153.5,1690.1884999999997,0.12588847403428094,0.8277748145305781,141.22,MEDIUM,,,,,,
2024-02-05,AMZN,SELL,11,170.31,,,0.8277748145305781,,HIGH,1871.5365900000002,183.03659000000016,10.840188925081442,18.0,Model sell signal,
2024-02-15,AMZN,BUY,11,169.8,1869.6678,0.13959327454692355,0.9256662467637397,156.216,HIGH,,,,,,
2024-02-29,AMZN,SELL,11,176.76,,,0.9256662467637397,,MEDIUM,1942.41564,74.61563999999976,3.9948409893992802,14.0,Model sell signal,
2024-03-06,AMZN,BUY,10,173.51,1736.8350999999998,0.13046253570304622,0.8604466835931872,159.6292,MEDIUM,,,,,,
2024-04-11,AMZN,SELL,10,189.05,,,0.8604466835931872,,MEDIUM,1888.6095,153.50950000000012,8.847299867442805,36.0,Model sell signal,
2024-04-26,AMZN,BUY,10,179.62,1797.9961999999998,0.12754588205919784,0.8396134432799846,165.2504,HIGH,,,,,,
2024-05-02,AMZN,SELL,10,184.72,,,0.8396134432799846,,HIGH,1845.3528000000001,49.15280000000007,2.7364881416323388,6.0,Model sell signal,
2024-05-31,AMZN,BUY,9,176.44,1589.5479599999999,0.11904063600207185,0.7788616857290847,162.3248,LOW,,,,,,
2024-06-06,AMZN,SELL,9,185.0,,,0.7788616857290847,,MEDIUM,1663.335,75.375,4.746656087055089,6.0,Model sell signal,
2024-06-13,AMZN,BUY,11,183.83,2024.15213,0.14060852623800532,0.932918044557181,169.1236,MEDIUM,,,,,,
2024-07-01,AMZN,SELL,11,197.2,,,0.932918044557181,,HIGH,2167.0308,144.9007999999999,7.165750965566006,18.0,Model sell signal,
2024-07-18,AMZN,BUY,9,183.75,1655.4037499999997,0.11660309827645284,0.7614507019746631,169.05,MEDIUM,,,,,,
2024-07-23,AMZN,SELL,9,186.41,,,0.7614507019746631,,MEDIUM,1676.01231,22.26231000000007,1.3461714285714328,5.0,Model sell signal,
2024-07-24,AMZN,BUY,9,180.83,1629.09747,0.1207831552756509,0.791308251968935,166.36360000000002,MEDIUM,,,,,,
